Down,Dist,Field Pos,Gain,Quarter,pff_CLOCK,pff_SCORE,pff_SCOREDIFFERENTIAL,Points on next possession
4,5,43,37,1,5:33,0.14,-14,0
4,8,47,47,2,13:03,0.14,-14,-7
4,1,-35,48,2,9:20,0.21,-21,0
4,8,-36,41,2,5:19,7.21,-14,0
4,17,-12,40,1,4:34,7.07,0,-3
4,8,-37,55,2,8:46,7.1,-3,0
4,22,40,40,4,10:48,17.22,-5,-3
4,15,-20,45,4,2:07,17.25,-8,0
4,18,-17,42,1,10:01,0,0,0
4,7,-45,40,1,6:58,0,0,-7
4,7,-36,40,3,10:42,17.14,3,0
4,8,-34,,1,2:22,7.1,-3,-3
4,3,-39,48,1,2:22,7.1,-3,-3
4,24,-33,66,2,6:17,14.2,-6,0
4,7,-36,51,2,1:11,14.2,-6,0
4,7,-38,49,3,13:25,14.2,-6,-7
4,11,-43,44,1,3:32,0.11,11,0
4,10,-32,38,3,11:06,10.39,29,0
4,5,-42,46,3,8:25,10.39,29,-7
4,3,40,31,3,1:56,17.46,29,0
4,17,-28,39,4,14:26,17.46,29,0
4,4,-28,49,4,9:10,17.46,29,-7
4,3,-31,57,4,5:39,23.46,23,7
4,13,-22,49,1,13:44,0,0,0
4,6,-24,62,1,8:49,0,0,0
4,2,-28,47,2,14:21,3.07,-4,-3
4,15,-9,36,2,7:08,3.1,-7,0
4,8,-20,30,2,5:14,3.1,-7,0
4,10,-43,43,3,1:06,17.13,4,0
4,10,-35,48,4,14:03,17.13,4,0
4,16,-28,46,4,9:30,17.13,4,-7
4,4,46,36,1,12:29,0,0,-7
4,38,-16,48,1,2:25,7,-7,0
4,1,-32,46,2,14:13,7,-7,0
4,4,-29,61,3,13:40,10,-10,0
4,4,48,48,3,4:14,17,-17,-7
4,9,-21,42,4,14:19,24,-24,-3
4,14,-31,34,1,0:19,14.21,7,0
4,12,44,35,4,11:16,51,51,-7
4,11,-35,29,1,11:18,0,0,0
4,4,-16,33,1,6:33,0,0,0
4,3,-41,45,1,3:35,0,0,0
4,7,46,35,2,14:25,0.07,7,0
4,7,-23,34,2,6:47,0.14,14,-7
4,16,-29,55,2,2:13,7.14,7,7
4,15,-43,40,3,12:44,7.21,14,-3
4,10,-30,53,3,0:58,10.31,21,0
4,6,-39,51,4,1:47,10.34,24,0
4,17,-43,39,1,3:47,14,14,0
4,9,-49,50,2,6:20,17,17,2
4,1,-39,61,2,1:43,26,26,0
4,14,-21,36,3,13:40,29,29,0
4,5,-32,55,4,5:20,46.1,36,0
4,4,-17,30,4,1:15,46.1,36,0
4,6,-45,55,1,9:14,0.03,3,0
4,10,-26,58,1,6:13,0.03,3,-7
4,6,-29,50,1,2:15,6.03,-3,0
4,8,-10,43,2,10:18,6.03,-3,0
4,3,-27,46,2,5:50,6.03,-3,-3
4,12,-34,39,2,1:00,9.03,-6,0
4,4,-31,48,3,6:11,16.1,-6,0
4,7,-38,37,3,1:11,16.17,1,0
4,3,-18,38,4,12:38,16.17,1,-3
4,4,-16,42,4,1:51,19.2,1,0
4,9,45,44,1,9:55,0,0,-3
4,2,-33,38,1,5:45,0.03,-3,0
4,11,40,40,2,0:19,12.13,-1,0
4,8,40,40,3,12:49,12.13,-1,-3
4,24,-34,35,4,10:27,19.16,3,-3
4,12,-8,35,4,1:09,19.19,0,-7
4,2,-29,47,1,11:32,7,-7,-7
4,1,-34,42,2,14:12,14,-14,0
4,8,38,,2,9:03,14,-14,0
4,13,43,43,2,8:50,14,-14,0
4,5,-22,48,2,4:29,14,-14,0
4,6,-29,46,3,13:55,14,-14,0
4,10,-25,51,3,6:39,21,-21,0
4,12,-4,40,4,13:21,21,-21,-7
4,9,-23,43,1,6:11,3,-3,0
4,22,-10,50,3,13:19,13.21,8,-7
4,1,-44,53,3,11:28,19.21,2,0
4,23,42,31,3,2:31,35.17,18,0
4,8,-41,46,4,14:55,35.17,18,0
4,2,-36,0,1,0:06,21,21,0
4,7,-31,41,1,0:06,21,21,0
4,6,-28,44,2,13:24,21,21,0
4,6,49,34,2,1:17,31,31,0
4,6,-36,64,1,8:47,3,3,0
4,9,-37,54,1,1:39,3.1,-7,7
4,3,-47,44,2,12:03,10.1,0,-7
4,7,-18,47,2,0:18,24.17,7,0
4,4,-32,43,3,0:19,41.17,24,0
4,8,50,50,4,10:52,41.17,24,0
4,4,-26,55,4,4:26,41.17,24,0
4,6,-38,41,1,4:33,7.03,-4,0
4,11,-49,50,1,0:50,7.03,-4,0
4,17,45,39,2,8:43,7.03,-4,0
4,5,-35,36,2,2:53,7.03,-4,-7
4,8,-40,49,2,0:34,14.03,-11,0
4,1,-36,55,3,8:55,21.1,-11,-7
4,6,-41,58,3,3:48,28.1,-18,2
4,16,-47,53,2,1:18,26.07,-19,0
4,4,-10,43,3,9:05,26.14,-12,0
4,21,-25,,4,15:00,26.17,-9,-7
4,26,-20,45,4,15:00,26.17,-9,-7
4,3,-33,41,1,7:26,3,3,0
4,10,-28,47,1,6:00,3,3,0
4,8,-22,32,1,2:33,3,3,-7
4,16,-45,35,2,13:19,3.07,-4,0
4,4,-48,,2,11:06,3.07,-4,-3
4,9,-43,41,2,10:59,3.07,-4,-3
4,14,-21,42,1,9:20,7.07,0,0
4,13,-21,43,2,15:00,14.07,7,0
4,6,-35,35,2,2:05,17.14,3,0
4,10,-14,28,3,11:17,17.14,3,-3
4,41,-5,36,3,4:00,24.24,0,0
4,3,-11,43,2,13:55,7,-7,-7
4,15,-33,47,2,12:10,14,-14,0
4,2,-33,49,2,6:33,21.07,-14,0
4,10,-45,44,2,1:28,21.14,-7,0
4,3,-32,46,3,2:28,24.17,-7,0
4,8,-29,34,4,9:40,24.17,-7,-3
4,3,-29,44,1,12:58,0,0,-7
4,3,-39,40,1,0:55,7.14,-7,0
4,7,49,49,2,8:38,7.14,-7,-7
